"ID","PO4.conc","PO4.range","PO4.pct","NH4.conc","NH4.range","NH4.pct","NO3.conc","NO3.range","NO3.pct","Ca_ppm","P_ppm","Mg_ppm","K_ppm","Na_ppm","Fe_ppm","Zn_ppm","Cu_ppm","Mn_ppm","Mo_ppm","Collection","Bottle","Coord_x","Coord_y","Date_collected","Extra_volume","Volume_mL","Funnel_area","Water_cm","Collector","Photo_number","Notes","Notes.2","Notes.3","Plot","Treatment","Sample","X1.4m","Palm","Plants_above","Canopy","Date_placed","ID.full","Gap_Fraction.4.5","LAI.4.5","Gap_Fraction.2.25","LAI.2.25","Gap_Fraction.9","LAI.9","K_DL","P.dep","K.dep","Mg.dep","Ca.dep","Na.dep","P.fert","N.fert","K.fert","PO4.dep","NH4.dep","NO3.dep","N.conc","N.dep","DI.control","Treatment.DI","Type","Rain_cm","PO4.rain","NH4.rain","NO3.rain","PO4.dep.pct.of.rain","NH4.dep.pct.of.rain","NO3.dep.pct.of.rain","N.dep.pct.of.rain"
"DI-1",1.61275946,0.33455266,20.7441139424474,23.78165,5.7141,24.0273488172604,0.0384,0.0768,200,0.01,0.01,0.03,NA,0.24,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.82005,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"DI-2",1.44548313,0,0,28.2713,1.0884,3.84984065111969,6.0048,12.0096,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.2761,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"DI-3",1.44548313,0,0,25.8224,13.0608,50.5793419666646,6.1345,12.269,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.9569,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"DI-blue-1",1.61275946,0.33455266,20.7441139424474,14.3942,2.721,18.9034472217977,0.6869,1.3738,200,0.03,0.01,0.04,NA,0.46,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0811,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"DI-blue-2",1.61275946,0.33455266,20.7441139424474,12.4895,2.721,21.7863004924136,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.4895,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"DI-spray-1",2.11458845,0,0,17.25125,6.2583,36.2773712049852,2.5028,5.0056,200,0.03,0.02,0.04,NA,0.59,0,0.04,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.75405,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"DI-spray-2",1.94731212,0.33455266,17.1802278927941,26.50265,5.1699,19.5071058931843,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.50265,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"DI-spray-3",1.94731212,0.33455266,17.1802278927941,22.2851,5.442,24.419903881966,3.1513,6.3026,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4364,NA,FALSE,NA,"DI_lab",NA,NA,NA,NA,NA,NA,NA,NA
"4-10",45.934853705,2.99542607,6.52103104374086,12.23965,1.8646,15.2340957462019,27.188,7.178,26.4013535383257,NA,NA,NA,0.0490695,NA,NA,NA,NA,NA,NA,4,"10",195,95,"2018-07-13","DI WATER",NA,81.15,NA,"Omar",NA,"","","","4","N",325,"","","","","","4N-1",NA,NA,NA,NA,NA,NA,0.098139,NA,NA,NA,NA,NA,"FALSE","TRUE","FALSE",NA,NA,NA,39.42765,NA,TRUE,"DI","DI",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,NA,NA,NA,NA
"4-11",383.084789295,5.65794020999998,1.47694201599923,80.29745,3.72919999999999,4.64423216428416,35.7705,2.4968,6.98005339595477,NA,NA,NA,3.82,NA,NA,NA,NA,NA,NA,4,"11",200,115,"2018-07-13","10",60,81.15,0.739371534195933,"Omar",1807,"Sunny when photo taken","","","4","N",326,"","","","","","4N-2",0.0022932,13.506,0.0030197,12.895,0.0051534,11.707,0.098139,NA,28.2439926062847,NA,NA,NA,"FALSE","TRUE","FALSE",2.8324198838817,0.593696487985212,0.264476894639556,116.06795,0.858173382624769,FALSE,"N","Tfall",1.31700554528651,0.392618835081639,1.29674794362292,3.17865323089957,721.417219653444,45.7834917652935,8.32040727401739,19.1753397999305
