Plot	Species	Month	Parameter	Value																					
1	Litter_Trap	April	Total_Al	0.107946129																					
2	Litter_Trap	April	Total_Al	0.109211906																					
3	Litter_Trap	April	Total_Al	0.075064754																					
4	Litter_Trap	April	Total_Al	0.076410051																					
5	Litter_Trap	April	Total_Al	0.218341046																					
6	Litter_Trap	April	Total_Al	0.144439481																					
7	Litter_Trap	April	Total_Al	0.135444533																					
8	Litter_Trap	April	Total_Al	0.081678187																					
9	Litter_Trap	April	Total_Al	0.085181525																					
10	Litter_Trap	April	Total_Al	0.053438405																					
11	Litter_Trap	April	Total_Al	0.162367529																					
12	Litter_Trap	April	Total_Al	0.084599566																					
13	Litter_Trap	April	Total_Al	1.734206828																					
14	Litter_Trap	April	Total_Al	0.129917111																					
15	Litter_Trap	April	Total_Al	0.144412166																					
16	Litter_Trap	April	Total_Al	0.406944818																					
17	Litter_Trap	April	Total_Al	0.080259051																					
18	Litter_Trap	April	Total_Al	0.118541168																					
19	Litter_Trap	April	Total_Al	0.103612145																					
20	Litter_Trap	April	Total_Al	0.19582466																					
21	Litter_Trap	April	Total_Al	0.073826771																					
22	Litter_Trap	April	Total_Al	0.218789853																					
23	Litter_Trap	April	Total_Al	1.630385123																					
24	Litter_Trap	April	Total_Al	0.084355936																					
25	Litter_Trap	April	Total_Al	0.079878738																					
26	Litter_Trap	April	Total_Al	0.326646391																					
27	Litter_Trap	April	Total_Al	0.134123566																					
28	Litter_Trap	April	Total_Al	0.067264662																					
29	Litter_Trap	April	Total_Al	0.079792207																					
30	Litter_Trap	April	Total_Al	0.077959973																					
31	Litter_Trap	April	Total_Al	0.083231226																					
32	Litter_Trap	April	Total_Al	0.085079189																					
33	Litter_Trap	April	Total_Al	0.090184981																					
34	Litter_Trap	April	Total_Al	0.0897184																					
35	Litter_Trap	April	Total_Al	2.510406411																					
36	Litter_Trap	April	Total_Al	0.102955152																					
1	Litter_Trap	April	Total_B	0.062757251																					
2	Litter_Trap	April	Total_B	0.051194794																					
3	Litter_Trap	April	Total_B	0.051511699																					
4	Litter_Trap	April	Total_B	0.060854382																					
5	Litter_Trap	April	Total_B	0.059059289																					
6	Litter_Trap	April	Total_B	0.047560541																					
7	Litter_Trap	April	Total_B	0.089517099																					
8	Litter_Trap	April	Total_B	0.097718869																					
9	Litter_Trap	April	Total_B	0.071306572																					
10	Litter_Trap	April	Total_B	0.045986545																					
11	Litter_Trap	April	Total_B	0.058104643																					
12	Litter_Trap	April	Total_B	0.084571992																					
13	Litter_Trap	April	Total_B	0.05547195																					
14	Litter_Trap	April	Total_B	0.048769611																					
15	Litter_Trap	April	Total_B	0.051664243																					
16	Litter_Trap	April	Total_B	0.051569384																					
17	Litter_Trap	April	Total_B	0.0538991																					
18	Litter_Trap	April	Total_B	0.039540095																					
19	Litter_Trap	April	Total_B	0.077796032																					
20	Litter_Trap	April	Total_B	0.050382942																					
21	Litter_Trap	April	Total_B	0.043495409																					
22	Litter_Trap	April	Total_B	0.049897234																					
23	Litter_Trap	April	Total_B	0.071666313																					
24	Litter_Trap	April	Total_B	0.059497736																					
25	Litter_Trap	April	Total_B	0.062414574																					
26	Litter_Trap	April	Total_B	0.063029488																					
27	Litter_Trap	April	Total_B	0.061923167																					
28	Litter_Trap	April	Total_B	0.073112236																					
29	Litter_Trap	April	Total_B	0.061628151																					
30	Litter_Trap	April	Total_B	0.051226907																					
31	Litter_Trap	April	Total_B	0.050824902																					
32	Litter_Trap	April	Total_B	0.088463058																					
33	Litter_Trap	April	Total_B	0.056938482																					
34	Litter_Trap	April	Total_B	0.054537208																					
35	Litter_Trap	April	Total_B	0.051591945																					
36	Litter_Trap	April	Total_B	0.051923135																					
1	Litter_Trap	April	Total_Ca	13.42894775																					
2	Litter_Trap	April	Total_Ca	9.727616461																					
3	Litter_Trap	April	Total_Ca	11.3718196																					
4	Litter_Trap	April	Total_Ca	12.54107372																					
5	Litter_Trap	April	Total_Ca	13.51127684																					
6	Litter_Trap	April	Total_Ca	15.23194603																					
7	Litter_Trap	April	Total_Ca	13.67102046																					
8	Litter_Trap	April	Total_Ca	20.23492509																					
9	Litter_Trap	April	Total_Ca	12.78766494																					
10	Litter_Trap	April	Total_Ca	9.729948049																					
11	Litter_Trap	April	Total_Ca	7.429321743																					
12	Litter_Trap	April	Total_Ca	12.85865686																					
13	Litter_Trap	April	Total_Ca	15.96496435																					
14	Litter_Trap	April	Total_Ca	15.84739656																					
15	Litter_Trap	April	Total_Ca	15.2113806																					
16	Litter_Trap	April	Total_Ca	15.53844128																					
17	Litter_Trap	April	Total_Ca	17.56809072																					
18	Litter_Trap	April	Total_Ca	16.70571924																					
19	Litter_Trap	April	Total_Ca	11.68056092																					
20	Litter_Trap	April	Total_Ca	16.05793472																					
21	Litter_Trap	April	Total_Ca	14.42140828																					
22	Litter_Trap	April	Total_Ca	18.01017477																					
23	Litter_Trap	April	Total_Ca	11.80929049																					
24	Litter_Trap	April	Total_Ca	10.45723158																					
25	Litter_Trap	April	Total_Ca	19.48826655																					
26	Litter_Trap	April	Total_Ca	16.05224941																					
27	Litter_Trap	April	Total_Ca	13.67603001																					
28	Litter_Trap	April	Total_Ca	12.0778827																					
29	Litter_Trap	April	Total_Ca	14.28852744																					
30	Litter_Trap	April	Total_Ca	23.01568894																					
31	Litter_Trap	April	Total_Ca	17.55338542																					
32	Litter_Trap	April	Total_Ca	14.63370664																					
33	Litter_Trap	April	Total_Ca	18.36708786																					
34	Litter_Trap	April	Total_Ca	11.71271102																					
35	Litter_Trap	April	Total_Ca	18.63278427																					
36	Litter_Trap	April	Total_Ca	13.21198448																					
1	Litter_Trap	April	Total_Cu	0.008389944																					
2	Litter_Trap	April	Total_Cu	0.007872607																					
3	Litter_Trap	April	Total_Cu	0.006335343																					
4	Litter_Trap	April	Total_Cu	0.00732531																					
5	Litter_Trap	April	Total_Cu	0.008624757																					
6	Litter_Trap	April	Total_Cu	0.012961007																					
7	Litter_Trap	April	Total_Cu	0.008518002																					
8	Litter_Trap	April	Total_Cu	0.006988334																					
9	Litter_Trap	April	Total_Cu	0.009777435																					
10	Litter_Trap	April	Total_Cu	0.012841501																					
11	Litter_Trap	April	Total_Cu	0.009526942																					
12	Litter_Trap	April	Total_Cu	0.007203379																					
13	Litter_Trap	April	Total_Cu	0.008802515																					
14	Litter_Trap	April	Total_Cu	0.006900829																					
15	Litter_Trap	April	Total_Cu	0.007501762																					
16	Litter_Trap	April	Total_Cu	0.011392924																					
17	Litter_Trap	April	Total_Cu	0.006617561																					
18	Litter_Trap	April	Total_Cu	0.019256546																					
19	Litter_Trap	April	Total_Cu	0.012109501																					
20	Litter_Trap	April	Total_Cu	0.007669498																					
21	Litter_Trap	April	Total_Cu	0.005784515																					
22	Litter_Trap	April	Total_Cu	0.005267951																					
23	Litter_Trap	April	Total_Cu	0.005847243																					
24	Litter_Trap	April	Total_Cu	0.007282871																					
25	Litter_Trap	April	Total_Cu	0.009104171																					
26	Litter_Trap	April	Total_Cu	0.007779445																					
27	Litter_Trap	April	Total_Cu	0.01380268																					
28	Litter_Trap	April	Total_Cu	0.010588263																					
29	Litter_Trap	April	Total_Cu	0.005680506																					
30	Litter_Trap	April	Total_Cu	0.007325498																					
31	Litter_Trap	April	Total_Cu	0.007894774																					
32	Litter_Trap	April	Total_Cu	0.006624382																					
33	Litter_Trap	April	Total_Cu	0.006870823																					
34	Litter_Trap	April	Total_Cu	0.00701298																					
35	Litter_Trap	April	Total_Cu	0.006900398																					
36	Litter_Trap	April	Total_Cu	0.006360588																					
1	Litter_Trap	April	Total_Fe	0.08394175																					
2	Litter_Trap	April	Total_Fe	0.085645599																					
3	Litter_Trap	April	Total_Fe	0.078978028																					
4	Litter_Trap	April	Total_Fe	0.079946928																					
5	Litter_Trap	April	Total_Fe	0.102384573																					
6	Litter_Trap	April	Total_Fe	0.074906979																					
7	Litter_Trap	April	Total_Fe	0.117973968																					
8	Litter_Trap	April	Total_Fe	0.06790188																					
9	Litter_Trap	April	Total_Fe	0.08158924																					
10	Litter_Trap	April	Total_Fe	0.07318531																					
11	Litter_Trap	April	Total_Fe	0.089656984																					
12	Litter_Trap	April	Total_Fe	0.072392045																					
13	Litter_Trap	April	Total_Fe	0.071411017																					
14	Litter_Trap	April	Total_Fe	0.098081205																					
15	Litter_Trap	April	Total_Fe	0.081224595																					
16	Litter_Trap	April	Total_Fe	0.067399415																					
17	Litter_Trap	April	Total_Fe	0.073593401																					
18	Litter_Trap	April	Total_Fe	0.088934791																					
19	Litter_Trap	April	Total_Fe	0.086134653																					
20	Litter_Trap	April	Total_Fe	0.066595084																					
21	Litter_Trap	April	Total_Fe	0.097436472																					
22	Litter_Trap	April	Total_Fe	0.063619798																					
23	Litter_Trap	April	Total_Fe	0.07474743																					
24	Litter_Trap	April	Total_Fe	0.087924393																					
25	Litter_Trap	April	Total_Fe	0.068930292																					
26	Litter_Trap	April	Total_Fe	0.073026809																					
27	Litter_Trap	April	Total_Fe	0.088017894																					
28	Litter_Trap	April	Total_Fe	0.087831588																					
29	Litter_Trap	April	Total_Fe	0.074302451																					
30	Litter_Trap	April	Total_Fe	0.086502346																					
31	Litter_Trap	April	Total_Fe	0.073746762																					
32	Litter_Trap	April	Total_Fe	0.079860987																					
33	Litter_Trap	April	Total_Fe	0.077550958																					
34	Litter_Trap	April	Total_Fe	0.069872385																					
35	Litter_Trap	April	Total_Fe	0.076762597																					
36	Litter_Trap	April	Total_Fe	0.065122259																					
1	Litter_Trap	April	Total_K	4.768576081																					
2	Litter_Trap	April	Total_K	6.062450529																					
3	Litter_Trap	April	Total_K	7.654896586																					
4	Litter_Trap	April	Total_K	5.803623708																					
5	Litter_Trap	April	Total_K	3.301126251																					
6	Litter_Trap	April	Total_K	5.798218022																					
7	Litter_Trap	April	Total_K	6.928021132																					
8	Litter_Trap	April	Total_K	4.400609755																					
9	Litter_Trap	April	Total_K	5.395589624																					
10	Litter_Trap	April	Total_K	7.896959584																					
11	Litter_Trap	April	Total_K	6.568082886																					
12	Litter_Trap	April	Total_K	5.327241826																					
13	Litter_Trap	April	Total_K	7.379541988																					
14	Litter_Trap	April	Total_K	5.28029899																					
15	Litter_Trap	April	Total_K	4.876095253																					
16	Litter_Trap	April	Total_K	6.764511358																					
17	Litter_Trap	April	Total_K	4.690410199																					
18	Litter_Trap	April	Total_K	5.020545274																					
19	Litter_Trap	April	Total_K	6.842479397																					
20	Litter_Trap	April	Total_K	6.909539219																					
21	Litter_Trap	April	Total_K	4.15070355																					
22	Litter_Trap	April	Total_K	4.196079123																					
23	Litter_Trap	April	Total_K	4.762942261																					
24	Litter_Trap	April	Total_K	4.484823432																					
25	Litter_Trap	April	Total_K	7.535262827																					
26	Litter_Trap	April	Total_K	5.835254217																					
27	Litter_Trap	April	Total_K	7.179269425																					
28	Litter_Trap	April	Total_K	3.552269885																					
29	Litter_Trap	April	Total_K	5.964050894																					
30	Litter_Trap	April	Total_K	3.875759641																					
31	Litter_Trap	April	Total_K	4.782965533																					
32	Litter_Trap	April	Total_K	6.498563458																					
33	Litter_Trap	April	Total_K	5.577263868																					
34	Litter_Trap	April	Total_K	6.606991023																					
35	Litter_Trap	April	Total_K	4.530163697																					
36	Litter_Trap	April	Total_K	5.185132345																					
1	Litter_Trap	April	Total_Mg	4.18423951																					
2	Litter_Trap	April	Total_Mg	2.919324117																					
3	Litter_Trap	April	Total_Mg	5.836751874																					
4	Litter_Trap	April	Total_Mg	3.054928274																					
5	Litter_Trap	April	Total_Mg	2.456705151																					
6	Litter_Trap	April	Total_Mg	3.32953933																					
7	Litter_Trap	April	Total_Mg	3.573623164																					
8	Litter_Trap	April	Total_Mg	4.471926382																					
9	Litter_Trap	April	Total_Mg	2.485314																					
10	Litter_Trap	April	Total_Mg	2.114620313																					
11	Litter_Trap	April	Total_Mg	3.020035646																					
12	Litter_Trap	April	Total_Mg	3.024823725																					
13	Litter_Trap	April	Total_Mg	3.005164578																					
14	Litter_Trap	April	Total_Mg	4.066705205																					
15	Litter_Trap	April	Total_Mg	3.313200501																					
16	Litter_Trap	April	Total_Mg	4.87034628																					
17	Litter_Trap	April	Total_Mg	3.923561255																					
18	Litter_Trap	April	Total_Mg	2.00621562																					
19	Litter_Trap	April	Total_Mg	2.408997847																					
20	Litter_Trap	April	Total_Mg	5.750370545																					
21	Litter_Trap	April	Total_Mg	2.574667378																					
