"plot"	"ID"	"sp"	"Al"	"B"	"Ca"	"Cu"	"Fe"	"K.conc"	"Mg"	"Mn"	"Na"	"P.conc"	"Zn"	"C"	"N.conc"	"Delta13C"	"Delta15N"	"Cnratio"	"Cpratio"	"Npratio"	"N"	"P"	"K"	"block"	"repl"	"micro"	"tmt"
1	"43627"	"HEISCO"	0.072749414	0.079616608	12.38663176	0.000923924	0.06530239	11.44346716	3.741535519	0.228189391	0.493356103	2.344616551	0.019976162	47.55702096	2.201079048	-34.63049795	2.375937313	21.60623036	202.8349623	9.38779967	0	1	0	1	1	0	"P"
1	"47581"	"TET2PA"	0.055881663	0.050885239	5.101484062	0.004923948	0.053259547	8.70703752	2.759564449	0.43440934	1.181712949	0.952649414	0.012585599	44.2761042	1.753617248	-35.64030054	2.953868603	25.24844246	464.768083	18.40779223	0	1	0	1	1	0	"P"
1	"MG005"	"ALSEBL"	0.062279623	0.069160319	7.688783765	0.018742198	0.103401872	32.28002672	3.870274988	0.13019615	0.418408089	2.48807649	0.02134488	42.83275969	3.877959964	-35.65719738	0.36233387	11.04517842	172.1521017	15.58617663	0	1	0	1	1	0	"P"
2	"9601"	"TET2PA"	0.090525399	0.071081703	6.275596196	0.004257821	0.082764308	4.547857974	1.254927547	0.572492365	0.748541124	0.682179683	0.012001813	48.36779687	2.199588803	-34.30935844	0.050903897	21.98947222	709.0184315	32.2435402	0	0	1	1	1	0	"K"
2	"MG004"	"ALSEBL"	0.067367665	0.073639183	11.2666548	0.017310073	0.108975017	34.42590012	2.94212434	0.07697558	0.438127016	1.203253943	0.019020606	42.96328599	4.090860963	-34.67149003	1.780123237	10.50226013	357.0591749	33.99831755	0	0	1	1	1	0	"K"
2	"9615"	"HEISCO"	0.050183519	0.026278792	7.130459861	0.00688133	0.048980531	12.67992996	3.258574645	0.161783118	0.12849366	1.013845346	0.01831623	48.36931203	2.408730481	-34.00901976	0.546346668	20.08083196	477.0876762	23.75836206	0	0	1	1	1	0	"K"
3	"13384"	"HEISCO"	0.076807682	0.045999216	7.643174428	0.005247717	0.084064823	20.60940185	3.613720256	0.09762509	0.277032001	1.323121358	0.015198393	48.00075349	2.593718576	-35.28442161	-1.706609083	18.50653881	362.7842087	19.60302855	1	1	0	2	1	0	"NP"
3	"6391"	"TET2PA"	0.088037857	0.043054153	4.434043254	-0.001532316	0.060667526	10.06640416	2.179212278	0.323567403	0.933683225	0.934736684	0.011773117	43.17649881	1.470173114	-35.48476709	0.244822958	29.36830935	461.9108198	15.72820602	1	1	0	2	1	0	"NP"
3	"MG007"	"ALSEBL"	0.105730672	0.068373848	8.016397809	0.014589598	0.115898588	27.95210197	5.718174775	0.108787464	1.14754313	1.957349221	0.018297618	42.76120598	3.340344252	-35.56724677	-3.615692405	12.80143685	218.4648785	17.06565295	1	1	0	2	1	0	"NP"
4	"43634"	"TET2PA"	0.123374842	0.076998523	6.361501903	0.007400923	0.074407006	6.287888367	2.135087668	0.733473944	1.972493074	0.696697822	0.00946541	40.96092791	1.726861188	-34.02579664	0.24371471	23.71987291	587.9296109	24.78637272	1	0	0	1	1	0	"N"
4	"8611"	"HEISCO"	0.061509338	0.059827707	10.98686948	0.003443091	0.082979997	9.185818858	4.019232476	0.292809556	0.18872244	0.914020985	0.020599442	48.34349155	2.213429949	-34.28057008	1.28003438	21.84098556	528.9100835	24.21640187	1	0	0	1	1	0	"N"
4	"MG006"	"ALSEBL"	0.130344881	0.080099017	12.30259585	0.014104138	0.151516018	22.60505063	5.897423503	0.223932983	0.582666889	1.173904313	0.021194306	43.073946	4.094043031	-34.83773963	0.275243165	10.52112684	366.9289356	34.87544075	1	0	0	1	1	0	"N"
5	"MG003"	"ALSEBL"	0.13106519	0.067527547	8.951468304	-0.223372042	0.104276035	31.92354151	4.816015347	0.208622814	3.468872691	2.054861102	0.016172132	42.26165772	3.545254054	-35.6921361	-3.447201797	11.92062884	205.6667367	17.25301068	1	1	1	1	1	0	"NPK"
5	"9690"	"HEISCO"	0.084070849	0.069877038	11.26607227	-0.073549399	0.073502552	9.883670269	3.858604678	0.27147954	0.439539255	1.106709903	0.021785331	48.98114383	2.376610747	-36.17003484	-1.577647569	20.60966184	442.5834061	21.47455933	1	1	1	1	1	0	"NPK"
5	"9688"	"TET2PA"	0.071174769	0.044127553	6.219445455	-0.008375181	0.054023179	9.869633233	2.486470626	0.354078397	1.205150067	1.07060342	0.009511921	42.6605379	1.484569887	-35.9243221	-1.094214238	28.73595799	398.4719	13.8666649	1	1	1	1	1	0	"NPK"
6	"43506"	"TET2PA"	0.083839077	0.06094057	6.067729256	0.003200967	0.045910049	7.932132236	2.54674319	0.492069215	1.535618459	0.813995411	0.013215899	41.71137254	1.405078336	-34.66086753	0.857789643	29.68615447	512.4276128	17.26150193	0	0	0	2	1	0	"CTL"
