Plot,Replicate,Block,Treatment,N,P,K,Mass,Ca_ppt,K_ppt,Mg_ppt,N_ppt,Na_ppt,P_ppt,P_flux,N_flux,K_flux,Mg_flux,Ca_flux,Na_flux
1,1,1,+P,FALSE,TRUE,FALSE,9246.449195906434,12.236763865,3.9620271535000002,3.7883623105,14.14444804,1.0953004375,1.128509595,10.434706637260446,130.78592020599834,36.634682787639534,35.02889963972496,113.14661540002616,10.127639849597841
2,1,1,+K,FALSE,FALSE,TRUE,8911.147660818715,9.2287698295,6.1325435765,2.5748917305,13.95713389,0.918187106,0.46747748499999997,4.165760896943166,124.3740810156071,54.648001346596814,22.94524042110653,82.23893067838327,8.182100881825805
3,1,2,+NP,TRUE,TRUE,FALSE,14812.478070175439,12.47407762,6.7907794255,5.7151574400000005,13.902875185,0.5942095675000001,0.8295786679999999,12.288115827235352,205.9360337901988,100.58827131961732,84.65564424760001,184.77200119191622,8.801716187682183
4,1,1,+N,TRUE,FALSE,FALSE,12110.113304093567,10.9902744055,5.0294681745,3.2219399949999996,14.452587365,1.1534716615,0.5096217865,6.171577576749582,175.02247052746108,60.90742945252764,39.018058398440665,133.09346829368457,13.968672513826062
5,1,1,+NPK,TRUE,TRUE,TRUE,8314.532163742691,13.092870345000001,4.04938451,2.744504057,15.00529826,0.7693120305,0.7089291275,5.894414032412794,124.76203500932225,33.66873775175644,22.819267255448803,108.86109159921537,6.396469621546448
6,1,2,Control,FALSE,FALSE,FALSE,8111.432748538013,13.798377814999998,5.677921424,3.1254691135,12.136558295,0.8931357175,0.49562915650000006,4.0202625711643725,98.44487640860369,46.056077782259194,25.35203252178797,111.92461368529138,7.244610307818495
7,1,2,+PK,FALSE,TRUE,TRUE,11188.40643274854,12.752228835,5.8375662145,3.3633580665,13.142238855,0.8414182155,1.248705217,13.97102148248946,147.0407097459998,65.31306338590734,37.63061702686529,142.6771191293954,9.414128974931996
9,2,1,+NK,TRUE,FALSE,TRUE,10788.993055555555,14.232058295000002,6.5461799215,3.096486445,16.400143505,0.9661788215,0.5004441815,5.399288798896683,176.94103438555953,70.62668971348072,33.40797075172691,153.5495781110168,10.42409659558835
10,1,2,+NK,TRUE,FALSE,TRUE,9041.69956140351,9.5841028875,8.706778457,2.688269495,14.73789513,0.568928447,0.608505096,5.501920259615,133.25561993293192,78.72407495589441,24.306525113875935,86.65657887435486,5.144080089709879
11,2,2,+N,TRUE,FALSE,FALSE,7103.852339181287,8.326602087,6.4591199945,2.990409071,13.932345510000001,0.7147404765,0.44337097150000004,3.149641913015355,98.97332524149539,45.884634681981446,21.243424474132294,59.150951713166734,5.077410805892073
12,2,1,Control,FALSE,FALSE,FALSE,8448.347953216375,12.761899555,4.5442141665,3.021846069,12.183009384999998,0.5767390415,0.406286959,3.4324535984861555,102.92630240178062,38.39110245252713,25.529607051971098,107.81696798463722,4.8724921007964985
13,2,1,+PK,FALSE,TRUE,TRUE,9400.093201754387,13.647775695,5.477477781499999,3.7299029834999997,15.098944305,0.625875373,1.308327965,12.29840480946165,141.93148371509864,51.48880165663885,35.06143567840176,128.29036352963826,5.883286838882792
14,2,2,+P,FALSE,TRUE,FALSE,9037.64802631579,16.514122725,6.479655507,4.236114069999999,15.94077587,0.998886992,1.2363128295,11.173360203439564,144.06712157944787,58.56084580404479,38.28450796398405,149.248828651933,9.027589051761316
15,2,1,+NP,TRUE,TRUE,FALSE,7804.67105263158,15.402178745,5.14217006,3.659690399,15.870972875,0.8337582379999999,0.76190969,5.9464545022625,123.86772257461351,40.13294581499079,28.562679718669017,120.20893859855889,6.507208785011712
17,2,2,+NPK,TRUE,TRUE,TRUE,14331.036184210527,17.27307824,5.9690612965,4.027492006,15.257734655,0.6851007615,0.8403540545,12.043144362587524,218.65914742988792,85.5428334259121,57.71813366960463,247.54110927013951,9.818203802886686
18,2,2,+K,FALSE,FALSE,TRUE,8417.589546783627,14.375430829999999,6.1480941950000005,2.7858471655,12.938004135,0.6748758075000001,0.58927012,4.960234002343934,108.90680836301935,51.7521334284731,23.450117979249594,121.00647628511909,5.68082754258916
19,3,1,+K,FALSE,FALSE,TRUE,10175.92105263158,12.757450295,6.732726066,2.567944456,14.9068588,0.657248816,0.503346673,5.122016006552763,151.69101829152635,68.5116889166108,26.13120005179895,129.81880703479146,6.68811206355158
20,3,1,+NPK,TRUE,TRUE,TRUE,14953.671418128657,14.741215775,7.2585432765,4.552479546,13.889787795,0.576528097,0.7021420395,10.499601347537713,207.70332275396376,108.54187113104798,68.07628326863554,220.43529700308477,8.621211725857007
21,3,2,+PK,FALSE,TRUE,TRUE,11020.257675438597,14.510583055,4.1626238529999995,2.6674190705000003,12.067002655000001,1.362501863,0.9074312575,10.000126280397273,132.9814786283017,45.87318746598703,29.395645485288913,159.91036428695298,15.015121613525137
22,3,2,+NP,TRUE,TRUE,FALSE,17207.869152046784,17.258044589999997,4.2374896935,4.562667373,13.233013155,1.1332818335000001,0.776382357,13.359886011213673,227.7119588585538,72.91816817889482,78.51378313889704,296.9741731249089,19.50136550325967
23,3,1,+N,TRUE,FALSE,FALSE,14793.336988304096,11.05288275,5.581023712,3.3238424474999997,14.880359169999998,0.9137387429999999,0.496033433,7.337989731834361,220.13016770881103,82.56196451133182,49.170721421896964,163.5090192129633,13.51724514446839
24,3,1,+P,FALSE,TRUE,FALSE,13858.40643274854,10.912163405000001,4.8478095595,3.1905102315000002,12.470993995,1.2337857855,0.754410026,10.454920757248392,172.8281034030764,67.18291518411466,44.21538751596963,151.22519552705523,17.09830486640691
26,3,2,Control,FALSE,FALSE,FALSE,13033.751827485381,16.583238695,5.357832066,2.5169202225,13.31734896,1.006137615,0.5165842635,6.733031088443314,173.57502134466054,69.83265348158729,32.80491354964428,216.14181764658255,13.113747978208032
27,3,2,+NK,TRUE,FALSE,TRUE,9463.11220760234,13.720807749999999,7.0694834695,3.858889686,17.63269067,0.6036542005000001,0.711852877,6.736343650355547,166.8601303321529,66.8993153216684,36.51710609537736,129.8415433171898,5.71244743392198
28,4,1,+N,TRUE,FALSE,FALSE,13756.304824561405,10.282617857,4.1137744844999995,2.8336858775,15.279952285,1.0055764905000002,0.4902843765,6.7445013338540285,210.19568133721353,56.59033578828495,38.98104670794477,141.45082563537034,13.833016727730678
29,4,1,+NPK,TRUE,TRUE,TRUE,12101.242690058481,12.77595552,6.042902338999999,3.398513607,14.963383075,1.0626860935,0.6499720935,7.865470045208883,181.07553005488856,73.12662775656104,41.126237943773035,154.6049383449123,12.859822320793679
30,4,1,+P,FALSE,TRUE,FALSE,15513.397295321638,19.565017570000002,4.0582147275,3.039482457,15.287023785,1.3231950609999998,0.8486026135,13.164709489073775,237.15367343973656,62.956697377432945,47.152698927601364,303.51989065335835,20.527250680500348
32,4,1,+K,FALSE,FALSE,TRUE,10843.488669590644,16.467088275000002,7.9062992555,3.520492491,16.595273615,0.6198905135,0.6422619414999999,6.96436008556454,179.95066141300907,85.7318663954072,38.17442043753745,178.56068513111146,6.721775759523976
33,4,2,+PK,FALSE,TRUE,TRUE,14019.480994152047,16.71906555,5.261420279,4.2855274135000005,15.264381765,1.1261724575,1.0015293335,14.040921456089018,213.9987100418986,73.76238160368665,60.08087012348084,234.39262171820727,15.788353364058755
34,4,2,+NK,TRUE,FALSE,TRUE,9771.154970760235,11.24874486,6.7482650965,2.7695256114999998,14.020321365000001,0.772271403,0.436609328,4.266177405567486,136.9947327972757,65.93834404167377,27.061463945456005,109.91322925360265,7.545983558199431
35,4,2,+NP,TRUE,TRUE,FALSE,12931.673976608188,17.562202695,4.4169200150000005,4.1993205655,15.19097924,0.6695839365,0.862821693,11.15772883382112,196.44479091710326,57.11816961473535,54.304244476311936,227.10867956284972,8.65884116679192
36,4,2,Control,FALSE,FALSE,FALSE,11197.474415204679,11.98129898,4.581811903,2.9447642380000003,14.513591524999999,0.8378059365,0.409291448,4.583030517342076,162.51556977391897,51.30472155912276,32.973922213814696,134.1602887894679,9.381310538865346
