"Date","Plot","Trap_Coords_x.y","Leaves","Reproductive","Branches","Dust","Total"
1998-07-31,1,186.023,-9,-9,-9,-9,9.8
1998-07-31,1,194.01,-9,-9,-9,-9,12.8
1998-07-31,1,205.022,-9,-9,-9,-9,46.1
1998-07-31,2,274.03,-9,-9,-9,-9,17.5
1998-07-31,2,279.02,-9,-9,-9,-9,23.1
1998-07-31,2,290.012,-9,-9,-9,-9,13.8
1998-07-31,3,109.075,-9,-9,-9,-9,89.5
1998-07-31,3,117.085,-9,-9,-9,-9,7.5
1998-07-31,3,125.071,-9,-9,-9,-9,35.6
1998-07-31,4,187.107,-9,-9,-9,-9,54.8
1998-07-31,4,196.094,-9,-9,-9,-9,10.8
1998-07-31,4,213.1,-9,-9,-9,-9,101
1998-07-31,5,268.094,-9,-9,-9,-9,10.3
1998-07-31,5,291.103,-9,-9,-9,-9,30.8
1998-07-31,5,292.092,-9,-9,-9,-9,22.2
1998-07-31,6,36.145,-9,-9,-9,-9,7.3
1998-07-31,6,45.15,-9,-9,-9,-9,9.8
1998-07-31,6,61.154,-9,-9,-9,-9,19.2
1998-07-31,7,116.16,-9,-9,-9,-9,18.8
1998-07-31,7,127.158,-9,-9,-9,-9,17.3
1998-07-31,7,131.146,-9,-9,-9,-9,43.1
1998-07-31,8,190.189,-9,-9,-9,-9,38.5
1998-07-31,8,201.166,-9,-9,-9,-9,49.5
1998-07-31,8,212.192,-9,-9,-9,-9,142.5
1998-07-31,9,269.173,-9,-9,-9,-9,72.3
1998-07-31,9,277.181,-9,-9,-9,-9,91.2
1998-07-31,9,284.166,-9,-9,-9,-9,88.4
1998-07-31,10,36.201,-9,-9,-9,-9,28.1
1998-07-31,10,50.214,-9,-9,-9,-9,38.9
1998-07-31,10,63.202,-9,-9,-9,-9,16.6
1998-07-31,11,108.225,-9,-9,-9,-9,37.3
1998-07-31,11,123.251,-9,-9,-9,-9,31
1998-07-31,11,133.236,-9,-9,-9,-9,18.6
1998-07-31,12,286.247,-9,-9,-9,-9,16
1998-07-31,12,287.26,-9,-9,-9,-9,25.3
1998-07-31,12,313.27,-9,-9,-9,-9,10.2
1998-07-31,13,180.284,-9,-9,-9,-9,70.2
1998-07-31,13,189.297,-9,-9,-9,-9,15.2
1998-07-31,13,201.284,-9,-9,-9,-9,46
1998-07-31,14,59.295,-9,-9,-9,-9,68.2
1998-07-31,14,59.307,-9,-9,-9,-9,12.5
1998-07-31,14,80.289,-9,-9,-9,-9,26.1
1998-07-31,15,246.331,-9,-9,-9,-9,8.6
1998-07-31,15,256.344,-9,-9,-9,-9,10.1
1998-07-31,15,260.325,-9,-9,-9,-9,45
1998-07-31,16,350.326,-9,-9,-9,-9,39.9
1998-07-31,16,350.336,-9,-9,-9,-9,36
1998-07-31,16,354.351,-9,-9,-9,-9,56.9
1998-07-31,17,155.35,-9,-9,-9,-9,13.2
1998-07-31,17,155.364,-9,-9,-9,-9,22.3
1998-07-31,17,164.372,-9,-9,-9,-9,73.3
1998-07-31,18,75.375,-9,-9,-9,-9,33.1
1998-07-31,18,96.379,-9,-9,-9,-9,5.3
1998-07-31,18,101.39,-9,-9,-9,-9,27.2
1998-07-31,19,246.433,-9,-9,-9,-9,39.7
1998-07-31,19,258.429,-9,-9,-9,-9,18.3
1998-07-31,19,269.434,-9,-9,-9,-9,18.2
1998-07-31,20,326.433,-9,-9,-9,-9,50.7
1998-07-31,20,336.411,-9,-9,-9,-9,50.9
1998-07-31,20,351.422,-9,-9,-9,-9,93
1998-07-31,21,176.426,-9,-9,-9,-9,12.6
1998-07-31,21,176.451,-9,-9,-9,-9,44.8
1998-07-31,21,185.435,-9,-9,-9,-9,196.6
1998-07-31,22,90.496,-9,-9,-9,-9,24.9
1998-07-31,22,96.478,-9,-9,-9,-9,22.5
1998-07-31,22,102.498,-9,-9,-9,-9,20.9
1998-07-31,23,249.503,-9,-9,-9,-9,48.5
1998-07-31,23,266.506,-9,-9,-9,-9,11.6
1998-07-31,23,273.491,-9,-9,-9,-9,17.9
1998-07-31,24,329.501,-9,-9,-9,-9,39
1998-07-31,24,343.486,-9,-9,-9,-9,22.2
1998-07-31,24,352.502,-9,-9,-9,-9,38.3
1998-07-31,25,445.516,-9,-9,-9,-9,14.5
1998-07-31,25,459.533,-9,-9,-9,-9,9.5
1998-07-31,25,472.532,-9,-9,-9,-9,11.5
1998-07-31,26,158.527,-9,-9,-9,-9,36.2
1998-07-31,26,172.553,-9,-9,-9,-9,13.9
1998-07-31,26,174.541,-9,-9,-9,-9,72.7
1998-07-31,27,53.56,-9,-9,-9,-9,26.3
1998-07-31,27,68.549,-9,-9,-9,-9,32.5
1998-07-31,27,73.561,-9,-9,-9,-9,16.7
1998-07-31,28,306.571,-9,-9,-9,-9,36.9
1998-07-31,28,314.561,-9,-9,-9,-9,39.5
1998-07-31,28,319.58,-9,-9,-9,-9,12.2
1998-07-31,29,387.564,-9,-9,-9,-9,16.8
1998-07-31,29,390.583,-9,-9,-9,-9,3.4
1998-07-31,29,396.574,-9,-9,-9,-9,12.1
1998-07-31,30,187.633,-9,-9,-9,-9,97
1998-07-31,30,192.623,-9,-9,-9,-9,60.6
1998-07-31,30,210.623,-9,-9,-9,-9,10.1
1998-07-31,31,116.626,-9,-9,-9,-9,89.6
1998-07-31,31,122.64,-9,-9,-9,-9,27.1
1998-07-31,31,135.632,-9,-9,-9,-9,72.2
1998-07-31,32,267.643,-9,-9,-9,-9,30.3
1998-07-31,32,282.644,-9,-9,-9,-9,111.3
1998-07-31,32,291.63,-9,-9,-9,-9,71.1
1998-07-31,33,452.632,-9,-9,-9,-9,28.4
1998-07-31,33,472.633,-9,-9,-9,-9,45.1
1998-07-31,33,474.652,-9,-9,-9,-9,25.2
1998-07-31,34,352.658,-9,-9,-9,-9,9.8
1998-07-31,34,353.672,-9,-9,-9,-9,17.6
1998-07-31,34,366.657,-9,-9,-9,-9,54.4
1998-07-31,35,435.724,-9,-9,-9,-9,19.8
1998-07-31,35,448.738,-9,-9,-9,-9,14.3
1998-07-31,35,460.718,-9,-9,-9,-9,50.7
1998-07-31,36,325.751,-9,-9,-9,-9,25.5
1998-07-31,36,341.742,-9,-9,-9,-9,87.4
1998-07-31,36,350.729,-9,-9,-9,-9,27.4
1998-08-28,1,186.023,-9,-9,-9,-9,24.5
1998-08-28,1,194.01,-9,-9,-9,-9,20.5
1998-08-28,1,205.022,-9,-9,-9,-9,23.8
1998-08-28,2,274.03,-9,-9,-9,-9,40.1
1998-08-28,2,279.02,-9,-9,-9,-9,35.8
1998-08-28,2,290.012,-9,-9,-9,-9,8.9
1998-08-28,3,109.075,-9,-9,-9,-9,52.9
1998-08-28,3,117.085,-9,-9,-9,-9,36.8
