ID,Plot,Treatment,Block,Replicate,P,N,K,Collection,Type,Bottle,Date_collected,Coord_x,Coord_y,LAI,Volume_mL,Rain_cm,PO4_ppm,NH4_ppm,NO3_ppm,N_ppm,K_ppm,Ca_ppm,Mg_ppm,Na_ppm,P_total_ppm,PO4.dep,NH4.dep,NO3.dep,N.dep,K.dep,Ca.dep,Mg.dep,Na.dep,P.total.dep,PO4.rain,NH4.rain,NO3.rain,K.rain
4-11,4,N,1,1,FALSE,TRUE,FALSE,4,Tfall,11,2018-07-13,200,115,13.506,60,1.31700554528651,0.383084789295,0.08029744999999999,0.0357705,0.11606795,3.82,NA,NA,NA,NA,2.8324198838817,0.593696487985212,0.264476894639556,0.858173382624769,28.2439926062847,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-13,5,NPK,1,1,TRUE,TRUE,TRUE,4,Tfall,13,2018-07-13,295,115,10.755,45,1.31700554528651,0.12398191871,0.15821105,0.1375121,0.29572315,0.19,NA,NA,NA,NA,0.687515260868762,0.877325600739371,0.762543992606285,1.63986959334566,1.05360443622921,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-14,5,NPK,1,1,TRUE,TRUE,TRUE,4,Tfall,14,2018-07-13,265,115,6.4108,180,1.31700554528651,0.10451176645,0.143161075,0.181985,0.325146075,0.0490695,NA,NA,NA,NA,2.31819075304991,3.17547670979667,4.03663585951941,7.21211256931608,1.08841774491682,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-16,6,C,2,1,FALSE,FALSE,FALSE,4,Tfall,16,2018-07-13,60,125,6.0397,170,1.31700554528651,0.6588288811,0.303250175,0.03483425,0.338084425,9.58,NA,NA,NA,NA,13.8017140834258,6.3527455021565,0.729737831176833,7.08248333333333,200.690080098583,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-17,6,C,2,1,FALSE,FALSE,FALSE,4,Tfall,17,2018-07-13,40,155,7.2909,85,1.31700554528651,0.08936829733,0.20682375,0.1894751,0.39629885000000004,4.4,NA,NA,NA,NA,0.936081980659273,2.16636090573013,1.98464368453481,4.15100459026494,46.0874922982132,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-19,7,PK,2,1,TRUE,FALSE,TRUE,4,Tfall,19,2018-07-13,115,160,9.7859,120,1.31700554528651,1.47945210075,0.4018075,0.14328575000000002,0.54509325,10.12,NA,NA,NA,NA,21.8772953900185,5.94170055452865,2.1188280961183,8.06052865064695,149.648798521257,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-2,1,P,1,1,TRUE,FALSE,FALSE,4,Tfall,2,2018-07-13,195,15,8.8486,70,1.31700554528651,0.370271078645,0.245447575,0.20773245,0.453180025,1.92,NA,NA,NA,NA,3.1939587806716,2.11723108441158,1.79190036968577,3.90913145409735,16.5619223659889,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-20,7,PK,2,1,TRUE,FALSE,TRUE,4,Tfall,20,2018-07-13,125,165,6.6832,100,1.31700554528651,0.25112036755,0.1985663,0.14781105,0.34637735,0.75,NA,NA,NA,NA,3.09452085705484,2.4469044978435,1.82145471349353,4.26835921133703,9.24214417744917,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-22,Rain 2,Rain,NA,NA,Rain,Rain,Rain,4,Rain,22,2018-07-13,90,105,0.014104,105,1.31700554528651,0.07189506974,0.0790988,0.25735485,0.33645365,0.0490695,NA,NA,NA,NA,0.93025044025878,1.0234595194085,3.32991487985213,4.35337439926063,0.634910351201479,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
4-23,Rain 2,Rain,NA,NA,Rain,Rain,Rain,4,Rain,23,2018-07-13,95,110,0.15048,105,1.31700554528651,0.043937929035000003,0.150619475,0.22661394999999998,0.377233425,0.11,NA,NA,NA,NA,0.568512945,1.94886566543438,2.93215831792976,4.88102398336414,1.42329020332717,NA,NA,NA,NA,0.392618835081639,1.29674794362292,3.17865323089957,14.653937461491061
